id	broker_name	collected_by	center_name
3275		Virginia Division of Consolidated Laboratory Services	SUB10731159
3276		Virginia Division of Consolidated Laboratory Services	SUB10731163
3277		Virginia Division of Consolidated Laboratory Services	SUB10731170
3278		Virginia Division of Consolidated Laboratory Services	SUB10731172
3279		Virginia Division of Consolidated Laboratory Services	SUB10731177
3280		Virginia Division of Consolidated Laboratory Services	SUB10731178
3281		Virginia Division of Consolidated Laboratory Services	SUB10731184
3282		University Hospitals Leuven - UZLeuven	SUB10731241
3283		NJDOH, Public Health and Environmental Laboratories	SUB10731378
3284		NJDOH, Public Health and Environmental Laboratories	SUB10732484
3285		Dynacare	SUB10732795
3286		Naval Medical Research Center	SUB10738063
3287		UWHC	SUB10738545
3288		New Mexico Department of Health Scientific Laboratory	SUB10738972
3289		New Mexico Department of Health Scientific Laboratory	SUB10739014
3290		UNADIG	SUB10739024
3291		New Mexico Department of Health Scientific Laboratory	SUB10739121
3292		CDPHE	SUB10739146
3293		CDPHE	SUB10739147
3294		CDPHE	SUB10739149
3295		CDPHE	SUB10739150
3296		healthcare provider	SUB10739251
3297		healthcare provider	SUB10739265
3298		Orange County Public Health Laboratory	SUB10739574
3299		Utah Public Health Laboratory	SUB10739653
3300		PrimBio Research Institute	SUB10739656
3301		GMERS Medical College, Junagadh	SUB10745079
3302		Cell care pathology, Ahmedabad	SUB10745079
3303		Pathocare Pathology laboratory,Vadodara	SUB10745079
3304		Zydus Hospital, Ahmedabad	SUB10745079
3305		Pangenomics, Ahmedabad	SUB10745079
3306		Sunflower Laboratory, Ahmedabad	SUB10745079
3307		Unipath Speciality Laboratory Limited, Ahmedabad	SUB10745079
3308		Bhavsinhaji General Civil Hospital, Porbandar	SUB10745079
3309		Green Cross Pathology &amp; Molecular Laboratory, Ahmedabad	SUB10745079
3310		Neuberg Supratech Reference Laboratory, Surat	SUB10745079
3311		SN Genelab Pvt. Ltd, Surat	SUB10745079
3312		Supratech Micropath Laboratory Research Institute Pvt Ltd, Ahmedabad	SUB10745102
3313		Invitro Speciality laboratory, Ahmedabad	SUB10745102
3314		Neuberg Supratech Reference Laboratory, Surat	SUB10745102
3315		Smimer Medical College, Surat	SUB10745102
3316		Northstar Pathology Lab, Ahmedabad	SUB10745102
3317		SN Genelab Pvt. Ltd, Surat	SUB10745102
3318		Pathocare Pathology laboratory,Vadodara	SUB10745102
3319		GMERS Medical College, Gandhinagar	SUB10745102
3320		General Hospital, Nadiad	SUB10745102
3321		Sanjeevani Metropolis, Rajkot	SUB10745102
3322		NHL Medical College, Ahmedabad	SUB10745102
3323		Mangalam Invitro Laboratory, Rajkot	SUB10745102
3324		Medical College, Baroda	SUB10745102
3325		Ampligene Diagnostics Private Limited, Ahmedabad	SUB10745102
3326		Gujarat Adani Institute of Medical Sciences, Bhuj	SUB10745195
3327		GMERS Medical College, Valsad	SUB10745195
3328		Nootan Medical College and Research Centre, Visnagar	SUB10745195
3329		Healthcare HCL Reference Laboratory, Surat	SUB10745195
3330		Pramukhswami Medical college, Karamsad	SUB10745195
3331		APRL Pathlabs Pvt. Ltd, Vadodara	SUB10745195
3332		Supratech Micropath Laboratory Research Institute Pvt Ltd, Ahmedabad	SUB10745195
3333		Salvus Bioresearch laboratory, Ahmedabad	SUB10745195
3334		Desai Metropolis Health Service Pvt. Ltd, surat	SUB10745195
3335		M.P Shah Goverment Medical College,Jamnagar	SUB10745195
3336		Green cross Genetic Lab Pvt. Ltd, Ahmedabad	SUB10745195
3337		Krutarth Hospital, Nadiad	SUB10745195
3338		Sterling Accuris, Bhavnagar	SUB10745195
3339		Symmers Path Care, Bopal	SUB10745195
3340		SN Genelab Pvt. Ltd, Surat	SUB10745195
3341		Scientific Diagnostic Centre Pvt. Ltd., Ahmedabad	SUB10745195
3342		Sanjeevani Metropolis, Rajkot	SUB10745195
3343		Zydus Hospital, Ahmedabad	SUB10745195
3344		National Health Laboratory Service	SUB10747930
3345		Africa Centres for Disease Control and Prevention	SUB10747941
3346		National Health Laboratory Service	SUB10748121
3347		Africa Centres for Disease Control and Prevention	SUB10748151
3348		National Health Service Laboratory	SUB10748286
3349		Africa Centres for Disease Control and Prevention	SUB10748316
3350		Africa Centres for Disease Control and Prevention	SUB10748342
3351		National Health Laboratory Service	SUB10748353
3352		Ahmed Babiker	SUB10748424
3353		healthcare provider	SUB10749287
3354		healthcare provider	SUB10749428
3355		CDPHE	SUB10749465
3356		Orange County Public Health Laboratory	SUB10749546
3357		healthcare provider	SUB10749555
3358		healthcare provider	SUB10749619
3359		Vault Health	SUB10749696
3360		TPMG Regional Laboratory	SUB10749820
3361		TPMG Regional Laboratory	SUB10749833
3362		CDPH VBL	SUB10749833
3363		CDPH VBL	SUB10749840
3364		CDPH VBL	SUB10749848
3365		CDPHE	SUB10750021
3366		CDPHE	SUB10750174
3367		Dr. Bhatt Lab, Rajkot	SUB10756293
3368		Desai Metropolis Health Service Pvt. Ltd, surat	SUB10756293
3369		Dhiraj Hospital Waghodia, Vadodara	SUB10756293
3370		Government Medical College, Surat	SUB10756293
3371		Sterling Accuris, Bhavnagar	SUB10756293
3372		Supratech Micropath Laboratory Research Institute Pvt Ltd, Ahmedabad	SUB10756293
3373		SN Genelab Pvt. Ltd, Surat	SUB10756293
3374		Sanjeevani Metropolis, Rajkot	SUB10756293
3375		NJDOH, Public Health and Environmental Laboratories	SUB10756354
3376		CADRAD IVRI	SUB10756496
3377		Ethiopian Biotechnology Institute (EBTI)	SUB10756521
3378		CDPH VBL	SUB10757997
3379		CDPH VBL	SUB10758175
3380		CDPHE	SUB10758190
3381		CDPHE	SUB10758222
3382		CDPHE	SUB10758239
3383		CDPHE	SUB10758250
3384		CDPHE	SUB10759771
3385		UWHC	SUB10760234
3386		CDPHE	SUB10761733
3387		XX	SUB10761821
3388		NJDOH, Public Health and Environmental Laboratories	SUB10761832
3389		XX	SUB10761911
3390		Dynacare (Brampton)	SUB10762042
3391		Dynacare (Brampton)	SUB10762051
3392		CDPHE	SUB10762856
3393		Lahey Hospital &amp; Medical Center	SUB10763351
3394		Montana Public Health Laboratory	SUB10763497
3395		PrimBio Research Institute	SUB10763852
3396		Big X-ray Diagnostic centre LLP, Surat	SUB10765495
3397		Sanjeevani Metropolis, Rajkot	SUB10765495
3398		Desai Metropolis Health Service Pvt. Ltd, surat	SUB10765495
3399		GMERS Medical College, Junagadh	SUB10765495
3400		SN Genelab Pvt. Ltd, Surat	SUB10765495
3401		Supratech Micropath Laboratory Research Institute Pvt Ltd, Ahmedabad	SUB10765495
3402		Dr. Bhatt Lab, Rajkot	SUB10765495
3403		Toprani Advanced Lab system,Vadodara	SUB10765495
3404		General Hospital, Porbandar	SUB10765495
3405		Sterling Accuris, Bhavnagar	SUB10765495
3406		Salvus Bioresearch laboratory, Ahmedabad	SUB10765495
3407		Virpur Primary Health Center (Sabarkantha,Himatnagar)	SUB10765495
3408		District Hospital Jamkhambhaliya	SUB10765495
3409		GMERS Medical College, Junagadh	SUB10765497
3410		P.D.U Medical College Rajkot	SUB10765497
3411		Symmers Path Care, Bopal	SUB10765497
3412		Pramukhswami Medical college, Karamsad	SUB10765497
3413		Green Cross Pathology &amp; Molecular Laboratory, Ahmedabad	SUB10765497
3414		Zydus Hospital, Ahmedabad	SUB10765497
3415		Covid 19 Hospital Vadiyapalce, Rajpipla	SUB10765497
3416		NHL Medical College, Ahmedabad	SUB10765497
3417		Neuberg Supratech Reference Laboratory, Surat	SUB10765497
3418		Sanjeevani Metropolis, Rajkot	SUB10765497
3419		SN Genelab Pvt. Ltd, Surat	SUB10765497
3420		Dr. Bhatt Lab, Rajkot	SUB10765497
3421		GMERS Medical College, Valsad	SUB10765497
3422		Invitro Speciality laboratory, Ahmedabad	SUB10765497
3423		Nadiad Civil Hospital	SUB10765497
3424		Supratech Micropath Laboratory Research Institute Pvt Ltd, Ahmedabad	SUB10765497
3425		CDPHE	SUB10765690
3426		CDPHE	SUB10765921
3427		CDPHE	SUB10765975
3428		TPMG Regional Laboratory	SUB10766168
3429		CDPH VBL	SUB10766170
3430		TPMG Regional Laboratory	SUB10766172
3431		Nicolae Testemitanu State University of Medicine and Pharmacy	SUB10767309
3432		National Health Laboratory Service	SUB10767358
3433		Pennsylvania Department of Health Bureau of Laboratories	SUB10768149
3434		UWHC	SUB10768173
3435		North Carolina State Laboratory of Public Health	SUB10768213
3436		NJDOH, Public Health and Environmental Laboratories	SUB10768473
3437		DPHL	SUB10768494
3438		Texas Department of State Health Services	SUB10768596
3439		CDPH VBL	SUB10768637
3440		Utah Public Health Laboratory	SUB10768648
3441		Utah Public Health Laboratory	SUB10769076
3442		UWHC	SUB10769078
3443		Ahmed Babiker	SUB10769143
3444		Texas Department of State Health Services	SUB10769262
3445		CDPH VBL	SUB10769441
3446		CDPH VBL	SUB10769487
3447		University of Virginia Health System	SUB10769604
3448		University of Virginia Health System	SUB10769701
3449		University of Livepool	SUB10774332
3450		NJDOH, Public Health and Environmental Laboratories	SUB10774970
3451		Montana Public Health Laboratory	SUB10775256
3452		New Mexico Department of Health Scientific Laboratory	SUB10775268
3453		University of Virginia Health System	SUB10775623
3454		NJDOH, Public Health and Environmental Laboratories	SUB10776144
3455		University of Virginia Health System	SUB10776145
3456		University of Virginia Health System	SUB10777766
3457		Montana Public Health Laboratory	SUB10777791
3458		University of Virginia Health System	SUB10777799
3459		University of Virginia Health System	SUB10777841
3460		Public Health Ontario (PHO)	SUB10778029
3461			SUB10779109
3462		Utah Public Health Laboratory	SUB10779905
3463		National Health Service Laboratory	SUB10779928
3464		National Health Service Laboratory	SUB10780027
3465		TPMG Regional Laboratory	SUB10780580
3466		CDPH VBL	SUB10780638
3467		Texas Department of State Health Services	SUB10780690
3468		Orange County Public Health Laboratory	SUB10780852
3469		Texas Department of State Health Services	SUB10780955
3470		Texas Department of State Health Services	SUB10781017
3471		Utah Public Health Laboratory	SUB10781356
3472		Texas Department of State Health Services	SUB10781437
3473		Montana Public Health Laboratory	SUB10781451
3474		Utah Public Health Laboratory	SUB10781494
3475		Montana Public Health Laboratory	SUB10781522
3476		National Health Laboratory Service	SUB10783563
3477		Africa Centres for Disease Control and Prevention	SUB10783569
3478		National Health Service Laboratory	SUB10783605
3479		Africa Centres for Disease Control and Prevention	SUB10783623
3480		South Dakota Public Health Laboratory	SUB10784494
3481		South Dakota Public Health Laboratory	SUB10784512
3482		Texas Department of State Health Services	SUB10784637
3483		Montana Public Health Laboratory	SUB10784638
3484		Montana Public Health Laboratory	SUB10784792
3485		Utah Public Health Laboratory	SUB10784868
3486		State Hygienic Laboratory at the University of Iowa	SUB10784933
3487		Orange County Public Health Laboratory	SUB10785071
3488		Pennsylvania Department of Health Bureau of Laboratories	SUB10785257
3489		NJDOH, Public Health and Environmental Laboratories	SUB10785263
3490		The Ohio State University	SUB10785452
3491		CW	SUB10785785
3492		Dartmouth College	SUB10788065
3493		Montana Public Health Laboratory	SUB10788153
3494		CDPH VBL	SUB10788687
3495		FBCCHS - COVID Testing - 4520 READING ROAD, SUITE A-200	SUB10788690
3496			SUB10788690
3497		SOUTHWEST MSC- 6400 HIGH STAR DRIVE	SUB10788690
3498		FORT BEND EMPLOYEE - 301 JACKSON STREET	SUB10788690
3499		FORT BEND MEDICAL, EXAMINERS - 3840 BAMORE RD.	SUB10788690
3500		HARRIS CO. JUV. DET. CTR. - 1200 CONGRESS	SUB10788690
3501		HIRAM CLARKE MSC - 3810 W FUQUA ST	SUB10788690
3502		HCO INST FORENSIC SCI - 1861 OLD SPANISH TRAIL	SUB10788690
3503		MAYOR&apos;S OFFICE	SUB10788690
3504		Texas Department of State Health Services	SUB10789034
3505		NJDOH, Public Health and Environmental Laboratories	SUB10789483
3506		self	SUB10789494
3507		Colorado Department of Public Health and Environment	SUB10789616
3508		Harvard University	SUB10792851
3509		self	SUB10792906
3510		PrimBio Research Institute	SUB10793207
3511		self	SUB10793210
3512		CDPH VBL	SUB10793213
3513		CDPH VBL	SUB10793220
3514		TPMG Regional Laboratory	SUB10793222
3515		University of Livepool	SUB10793338
3516		Colorado Department of Public Health and Environment	SUB10793400
3517		National Health Service Laboratory	SUB10794399
3518		MRC	SUB10794399
3519		Central Health Laboratory,Ministry of Health and Wellness	SUB10794411
3520		UWHC	SUB10795025
3521		FBCCHS - COVID Testing - 4520 READING ROAD, SUITE A-200	SUB10795059
3522		MAGNOLIA HEALTH CENTER - 7037 CAPITOL	SUB10795059
3523			SUB10795059
3729		UWHC	SUB10829254
3524		HCO INST FORENSIC SCI - 1861 OLD SPANISH TRAIL	SUB10795059
3525		FORT BEND EMPLOYEE - 301 JACKSON STREET	SUB10795059
3526		HIRAM CLARKE MSC - 3810 W FUQUA ST	SUB10795059
3527		MEMORIAL HERMANN - 6411 FANNIN	SUB10795059
3528		SOUTHWEST MSC- 6400 HIGH STAR DRIVE	SUB10795059
3529		NJDOH, Public Health and Environmental Laboratories	SUB10795797
3530		UWHC	SUB10795803
3531		Texas Department of State Health Services	SUB10795934
3532		UWHC	SUB10795935
3533			SUB10796157
3534		NJDOH, Public Health and Environmental Laboratories	SUB10796209
3535		UWHC	SUB10796211
3536		UWHC	SUB10796414
3537		Colorado Department of Public Health and Environment	SUB10796418
3538		UWHC	SUB10796441
3539		UWHC	SUB10796464
3540		NJDOH, Public Health and Environmental Laboratories	SUB10796482
3541		UWHC	SUB10796507
3542		UWHC	SUB10796536
3543		South Dakota Public Health Laboratory	SUB10797003
3544		GMERS Medical College, Junagadh	SUB10797661
3545		Supratech Micropath Laboratory Research Institute Pvt Ltd, Ahmedabad	SUB10797661
3546		Unipath Speciality Laboratory Limited, Vadodara	SUB10797661
3547		Pramukhswami Medical college, Karamsad	SUB10797661
3548		Sterling Accuris, Surat	SUB10797661
3549		NHL Medical College, Ahmedabad	SUB10797661
3550		P.D.U. Medical College, Rajkot	SUB10797661
3551		Sanjeevani Metropolis, Rajkot	SUB10797661
3552		Pangenomics, Ahmedabad	SUB10797661
3553		SN Genelab Pvt. Ltd, Surat	SUB10797661
3554		Ampligene Diagnostics Private Limited, Ahmedabad	SUB10797661
3555		GMERS, Medical College Dharpur, Patan	SUB10797661
3556		Eugene Molecular Laboratory, Ahmedabad	SUB10797661
3557		CDPH VBL	SUB10797671
3558		CDPH VBL	SUB10797672
3559		CDPH VBL	SUB10797681
3560		Green cross Genetic Lab Pvt. Ltd, Ahmedabad	SUB10797698
3561		Unipath Speciality Laboratory Limited, Ahmedabad	SUB10797698
3562		Sanjeevani Metropolis, Rajkot	SUB10797698
3563		Supratech Micropath Laboratory Research Institute Pvt Ltd, Ahmedabad	SUB10797698
3564		SN Genelab Pvt. Ltd, Surat	SUB10797698
3565		Zydus Hospital, Ahmedabad	SUB10797698
3566		General Civil Hospital, Mehsana	SUB10797698
3567		APRL Pathlabs Pvt. Ltd, Vadodara	SUB10797698
3568		Eugene Molecular Laboratory, Ahmedabad	SUB10797698
3569		Sunflower Laboratory, Ahmedabad	SUB10797698
3570		Gujarat Adani Institute of Medical Sciences, Bhuj	SUB10797698
3571		Mangalam Invitro Laboratory, Rajkot	SUB10797698
3572		M.P Shah Goverment Medical College,Jamnagar	SUB10797698
3573		Clinical Lab, Aga Khan University Hospital	SUB10799900
3574		Pennsylvania Department of Health Bureau of Laboratories	SUB10800436
3575		CDPH VBL	SUB10800691
3576		New Mexico Department of Health Scientific Laboratory	SUB10800720
3577		Colorado Department of Public Health and Environment	SUB10800951
3578		NJDOH, Public Health and Environmental Laboratories	SUB10800952
3579		Texas Department of State Health Services	SUB10801280
3580		DPHL	SUB10801402
3581		TPMG Regional Laboratory	SUB10801658
3582		Orange County Public Health Laboratory	SUB10801663
3583		SN Genelab Pvt. Ltd, Surat	SUB10804887
3584		Unipath Speciality Laboratory Limited, Vadodara	SUB10804887
3585		Eugene Molecular Laboratory, Ahmedabad	SUB10804887
3586		General Hospital, Nadiad	SUB10804887
3587		GMERS Medical College, Gandhinagar	SUB10804887
3588		Northstar Pathology Lab, Ahmedabad	SUB10804887
3589		SSG Hospital Vadodara	SUB10804887
3590		GMERS Medical College, Valsad	SUB10804887
3591		Supratech Micropath Laboratory Research Institute Pvt Ltd, Ahmedabad	SUB10804887
3592		Green cross Genetic Lab Pvt. Ltd, Ahmedabad	SUB10804887
3593		Montana Public Health Laboratory	SUB10805412
3594		Montana Public Health Laboratory	SUB10805421
3595		Idaho Bureau of Laboratories	SUB10805741
3596		National Health Laboratory service	SUB10806410
3597		Utah Public Health Laboratory	SUB10806444
3598		NJDOH, Public Health and Environmental Laboratories	SUB10806574
3599		Montana Public Health Laboratory	SUB10806821
3600		GMERS Medical College, Valsad	SUB10812630
3601		Unipath Speciality Laboratory Limited, Vadodara	SUB10812630
3602		Sterling Accuris, Bhavnagar	SUB10812630
3603		Symmers Path Care, Bopal	SUB10812630
3604		GMERS Medical College, Junagadh	SUB10812630
3605		Supratech Micropath Laboratory Research Institute Pvt Ltd, Ahmedabad	SUB10812630
3606		Unipath Speciality Laboratory Limited, Ahmedabad	SUB10812630
3607		Colorado Department of Public Health and Environment	SUB10813111
3608		Utah Public Health Laboratory	SUB10813291
3609		Texas Department of State Health Services	SUB10813337
3610		Molecular Pathology Laboratory, Univ. of Illinois at Chicago	SUB10813349
3611		Colorado Department of Public Health and Environment	SUB10813374
3612		New Mexico Department of Health Scientific Laboratory	SUB10813393
3613		Orange County Public Health Laboratory	SUB10813455
3614		CDPHE	SUB10813572
3615		CDPHE	SUB10813577
3616		CDPHE	SUB10813580
3617		CDPHE	SUB10813582
3618		CDPHE	SUB10813583
3619		CDPHE	SUB10813584
3620		Central Health Laboratory,Ministry of Health and Wellness	SUB10814953
3621		National Health Laboratory service	SUB10814978
3622		CAPRISA	SUB10814978
3623		Unipath Speciality Laboratory Limited, Ahmedabad	SUB10815212
3624		MGG Civil hospital, Navasari	SUB10815212
3626		Supratech Micropath Laboratory Research Institute Pvt Ltd, Ahmedabad	SUB10815212
3627		Sanjeevani Metropolis, Rajkot	SUB10815212
3628		Zydus Hospital, Ahmedabad	SUB10815212
3629		General Civil Hospital, Mehsana	SUB10815212
3630		Pramukhswami Medical College, Karamsad	SUB10815212
3631		Shantabaa Medical College, Amreli	SUB10815212
3632		Unipath Speciality Laboratory Limited, Vadodara	SUB10815212
3633		Pangenomics, Ahmedabad	SUB10815231
3634		Unipath Speciality Laboratory Limited, Ahmedabad	SUB10815231
3635		M.G.S General Hospital,Surendranagar	SUB10815231
3636		Northstar Pathology Lab, Ahmedabad	SUB10815231
3637		P.D.U Medical College Rajkot	SUB10815231
3638		CDPHE	SUB10815244
3639		North Carolina State Laboratory of Public Health	SUB10815349
3640		TPMG Regional Laboratory	SUB10815369
3641		Montana Public Health Laboratory	SUB10815396
3642		Montana Public Health Laboratory	SUB10815405
3643		Covid Laboratory Biogem	SUB10815624
3644		National Health Laboratory service	SUB10815825
3645		National Health Service Laboratory	SUB10815825
3646		CAPRISA	SUB10815825
3647		MRC	SUB10815825
3648		UWHC	SUB10815924
3649		Texas Department of State Health Services	SUB10815957
3650		UWHC	SUB10815976
3651		UWHC	SUB10815990
3652		NJDOH, Public Health and Environmental Laboratories	SUB10815997
3653		NJDOH, Public Health and Environmental Laboratories	SUB10816028
3654		Colorado Department of Public Health and Environment	SUB10816050
3655		Colorado Department of Public Health and Environment	SUB10816109
3656		CDPH VBL	SUB10816335
3657		CDPH VBL	SUB10816339
3658		CDPH VBL	SUB10816342
3659		CDPH VBL	SUB10816344
3660		CDPH VBL	SUB10816346
3661		CDPH VBL	SUB10816350
3662		CDPH VBL	SUB10816355
3663		CDPH VBL	SUB10816403
3664			SUB10818841
3665		Pangenomics, Ahmedabad	SUB10818864
3666		Pathocare Pathology laboratory,Vadodara	SUB10818864
3667		GMERS Medical College, Gotri	SUB10818864
3668		M.P Shah Goverment Medical College,Jamnagar	SUB10818864
3669		P.D.U Medical College Rajkot	SUB10818864
3670		Zydus Hospital, Ahmedabad	SUB10818864
3671		Colorado Department of Public Health and Environment	SUB10819429
3672		CDPH VBL	SUB10819459
3673		Colorado Department of Public Health and Environment	SUB10819523
3674		Colorado Department of Public Health and Environment	SUB10819585
3675		TPMG Regional Laboratory	SUB10819643
3676		CDPH VBL	SUB10819644
3677		CDPH VBL	SUB10820505
3678		Utah Public Health Laboratory	SUB10820856
3679		self	SUB10821127
3680		SN Genelab Pvt. Ltd, Surat	SUB10822644
3681		Sanjeevani Metropolis, Rajkot	SUB10822644
3682		Invitro Speciality laboratory, Ahmedabad	SUB10822644
3683		Pramukhswami Medical college, Karamsad	SUB10822644
3684		Unipath Speciality Laboratory Limited, Ahmedabad	SUB10822644
3685		Zydus Hospital, Ahmedabad	SUB10822644
3686		Neuberg Supratech Reference Laboratory, Ahmedabad	SUB10822644
3687		Symmers Path Care, Bopal	SUB10822644
3688		Pangenomics, Ahmedabad	SUB10822659
3689		Neuberg Supratech Reference Laboratory, Ahmedabad	SUB10822659
3690		General Hospital Petlad, Anand	SUB10822659
3691		Northstar Pathology Lab, Ahmedabad	SUB10822659
3692		M.P Shah Goverment Medical College,Jamnagar	SUB10822659
3693		Invitro Speciality laboratory, Ahmedabad	SUB10822659
3694		GMERS Medical College, Gotri	SUB10822659
3695		Sterling Accuris, Surat	SUB10822659
3696		Muljibhai Patel Urological Hospital, Nadiad	SUB10822659
3697		Eugene Molecular Laboratory, Ahmedabad	SUB10822659
3698		Sanjeevani Metropolis, Rajkot	SUB10822659
3699		Rivaara Lab, Ahmedabad	SUB10822659
3700		Supratech Micropath Laboratory Research Institute Pvt Ltd, Ahmedabad	SUB10822659
3701		Sterling Accuris, Bhavnagar	SUB10822659
3702		Symmers Path Care, Bopal	SUB10822659
3703		Unipath Speciality Laboratory Limited, Ahmedabad	SUB10822659
3704		Scientific Diagnostic Centre Pvt. Ltd., Ahmedabad	SUB10822659
3705		GMERS Medical College, Gandhinagar	SUB10822694
3706		Northstar Pathology Lab, Ahmedabad	SUB10822694
3707		GMERS Medical College, Vadnagar	SUB10822694
3708		Pangenomics, Ahmedabad	SUB10822694
3709		Pathocare Pathology laboratory,Vadodara	SUB10822694
3710		Eugene Molecular Laboratory, Ahmedabad	SUB10822694
3711		Desai Metropolis Health Service Pvt. Ltd, surat	SUB10822694
3712		PrimBio Research Institute	SUB10823027
3713		PrimBio Research Institute	SUB10823486
3714		North Carolina State Laboratory of Public Health	SUB10823588
3715		State Hygienic Laboratory at the University of Iowa	SUB10823819
3716		Colorado Department of Public Health and Environment	SUB10823836
3717		NJDOH, Public Health and Environmental Laboratories	SUB10823895
3718		UeS	SUB10823920
3719		ZSFGH	SUB10823920
3720		UWHC	SUB10823949
3721		CDPH VBL	SUB10824040
3722		Texas Department of State Health Services	SUB10824094
3723		Montana Public Health Laboratory	SUB10824100
3724		Montana Public Health Laboratory	SUB10824150
3725		Montana Public Health Laboratory	SUB10824152
3726		Wisconsin State Laboratory of Hygiene	SUB10824172
3727		Texas Department of State Health Services	SUB10824276
3728		Utah Public Health Laboratory	SUB10828758
3730		UWHC	SUB10829258
3731		UWHC	SUB10829275
3732		UWHC	SUB10829317
3733		Colorado Department of Public Health and Environment	SUB10829426
3734		Colorado Department of Public Health and Environment	SUB10829839
3735		MARIAN MEDICAL CENTER LAB	SUB10829952
3736		SIERRA VISTA RMC LAB	SUB10829952
3737		County of San Luis Obispo Public Health Laboratory	SUB10829952
3738		TWIN CITIES COMM. HOSP LAB	SUB10829952
3739		CAL POLY HEALTH CENTER	SUB10829952
3740		Vanderbilt University Medical Center - Suman R. Das Lab	SUB10829994
3741		Sterling Accuris, Surat	SUB10836533
3742		Unipath Speciality Laboratory Limited, Ahmedabad	SUB10836533
3743		MGG Civil hospital, Navasari	SUB10836533
3744		Toprani Advanced Lab system,Vadodara	SUB10836533
3745		Desai Metropolis Health Service Pvt. Ltd, surat	SUB10836533
3746		Pangenomics, Ahmedabad	SUB10836533
3747		Cell care pathology laboratory, Ahmedabad	SUB10836533
3748		Pathocare Pathology laboratory,Vadodara	SUB10836533
3749		Zydus Hospital, Ahmedabad	SUB10836533
3750		Olive View Medical Center	SUB10836987
3751		Providence Saint John&apos;s Health Center	SUB10836987
3752		Palmdale Regional Medical Center	SUB10836987
3753		PIH Health Whittier Hospital	SUB10836987
3754		Henry Mayo Newhall Hospital	SUB10836987
3755		UCLA Clinical Micro Lab	SUB10836987
3756		modMD	SUB10836987
3757		Huntington Memorial Hospital	SUB10836987
3758		Pomona Valley Hospital Medical Center	SUB10836987
3759		Bio Lab	SUB10836987
3760		Los Angeles County Public Health Laboratories	SUB10836987
3761		USC Clinical Lab	SUB10836987
3762		Torrance Memorial Medical Center	SUB10836987
3763		Quantgene Lab	SUB10836987
3764		Diagnostic Laboratory Science	SUB10836987
3765		Clarity Mobile Venture	SUB10836987
3766		Saint Francis Medical Center	SUB10836987
3767		Curative Labs	SUB10836987
3768		OmniPathology Laboratory	SUB10836987
3769		USC Verdugo Hills Hospital	SUB10836987
3770		Fulgent Genetics	SUB10836987
3771		Nobility Health	SUB10836987
3772		Colorado Department of Public Health and Environment	SUB10837341
3773		UWHC	SUB10837371
3774		NJDOH, Public Health and Environmental Laboratories	SUB10837386
3775		South Dakota Public Health Laboratory	SUB10837394
3776		New Mexico Department of Health Scientific Laboratory	SUB10837477
3777		CDPH VBL	SUB10837483
3778		FYR Diagnostics	SUB10837512
3779		FYR Diagnostics	SUB10837570
3780		UWHC	SUB10837578
3781		New Mexico Department of Health Scientific Laboratory	SUB10837585
3782		UWHC	SUB10837587
3783		Montana Public Health Laboratory	SUB10837590
3784		FYR Diagnostics	SUB10837630
3785		Texas Department of State Health Services	SUB10837651
3786		NP-Swab	SUB10838094
3787		CDPHE	SUB10838129
3788		CDPHE	SUB10838173
3789		CDPHE	SUB10838195
3790		CDPHE	SUB10838198
3791		CDPHE	SUB10838203
3792		CDPHE	SUB10838234
3793		CDPHE	SUB10838235
3794		CDPHE	SUB10838238
3795		CDPHE	SUB10838241
3796		TPMG Regional Laboratory	SUB10838268
3797		TPMG Regional Laboratory	SUB10838276
3798		CDPH VBL	SUB10838281
3799		Los Angeles County Public Health Laboratories	SUB10838357
3800		Torrance Memorial Medical Center	SUB10838357
3801		Flow Diagnostics Lab	SUB10838357
3802		Henry Mayo Newhall Hospital	SUB10838357
3803		Diagnostic Laboratory Science	SUB10838357
3804		Olive View Medical Center	SUB10838357
3805		Saint Francis Medical Center	SUB10838357
3806		Martin Luther King, Jr. Outpatient Center	SUB10838357
3807		Fulgent Genetics	SUB10838357
3808		Pomona Valley Hospital Medical Center	SUB10838357
3809		California Hospital Medical Center	SUB10838357
3810		Bio Lab	SUB10838357
3811		Huntington Memorial Hospital	SUB10838357
3812		Palmdale Regional Medical Center	SUB10838357
3813		UCI Medical Center	SUB10838357
3814		Providence Saint John&apos;s Health Center	SUB10838357
3815		HealthQuest Esoterics	SUB10838357
3816		UCLA Clinical Micro Lab	SUB10838357
3817		PIH Health Whittier Hospital	SUB10838357
3818		modMD	SUB10838357
3819		Martin Luther King Jr. Community Hospital	SUB10838357
3820		Cedars-Sinai Medical Center	SUB10838357
3821		USC Clinical Lab	SUB10838357
3822		Montana Public Health Laboratory	SUB10844275
3823		CDPHE	SUB10844536
3824		Texas Department of State Health Services	SUB10844689
3825		Colorado Department of Public Health and Environment	SUB10855520
3826		PrimBio Research Institute	SUB10855634
3827		Colorado Department of Public Health and Environment	SUB10856075
3828		NJDOH, Public Health and Environmental Laboratories	SUB10857588
3829		Shanghai Public Health Clinical Center	SUB10858903
3830		self	SUB10859815
3831		CDPH VBL	SUB10859895
3832		NJDOH, Public Health and Environmental Laboratories	SUB10861399
3833		CDPHE	SUB10861416
3834		CDPHE	SUB10861420
3835		CDPHE	SUB10861422
3836		CDPHE	SUB10861807
